	abbr	state	lobbyists	lat	lon
0	AK	Alaska	6169.0	41.13998	-104.82025
1	AL	Alabama	5617.0	41.13998	-104.82025
2	AR	Arkansas	5141.0	41.13998	-104.82025
3	AZ	Arizona	32467.0	41.13998	-104.82025
4	CA	California	9936.0	41.13998	-104.82025
5	CO	Colorado	9803.0	41.13998	-104.82025
6	CT	Connecticut	7225.0	41.13998	-104.82025
7	DE	Delaware	2605.0	41.13998	-104.82025
8	FL	Florida	23342.0	41.13998	-104.82025
9	GA	Georgia	20708.0	41.13998	-104.82025
10	HI	Hawaii	2484.0	41.13998	-104.82025
11	IA	Iowa	6528.0	41.13998	-104.82025
12	ID	Idaho	7600.0	41.13998	-104.82025
13	IL	Illinois	16020.0	41.13998	-104.82025
14	IN	Indiana	5163.0	41.13998	-104.82025
15	KS	Kansas	10438.0	41.13998	-104.82025
16	KY	Kentucky	5653.0	41.13998	-104.82025
17	LA	Louisiana	8029.0	41.13998	-104.82025
18	MA	Massachusetts	6314.0	41.13998	-104.82025
19	MD	Maryland	15954.0	41.13998	-104.82025
20	ME	Maine	5007.0	41.13998	-104.82025
21	MI	Michigan	11812.0	41.13998	-104.82025
22	MN	Minnesota	19441.0	41.13998	-104.82025
23	MO	Missouri	12857.0	41.13998	-104.82025
24	MS	Mississippi	7788.0	41.13998	-104.82025
25	MT	Montana	8700.0	41.13998	-104.82025
26	NC	North Carolina	15635.0	41.13998	-104.82025
27	ND	North Dakota	3383.0	41.13998	-104.82025
28	NE	Nebraska	3616.0	41.13998	-104.82025
29	NH	New Hampshire	5586.0	41.13998	-104.82025
30	NJ	New Jersey	8553.0	41.13998	-104.82025
31	NM	New Mexico	7333.0	41.13998	-104.82025
32	NV	Nevada	6211.0	41.13998	-104.82025
33	NY	New York	43936.0	41.13998	-104.82025
34	OH	Ohio	13807.0	41.13998	-104.82025
35	OK	Oklahoma	3240.0	41.13998	-104.82025
36	OR	Oregon	7248.0	41.13998	-104.82025
37	PA	Pennsylvania	5373.0	41.13998	-104.82025
38	RI	Rhode Island	6679.0	41.13998	-104.82025
39	SC	South Carolina	4666.0	41.13998	-104.82025
40	SD	South Dakota	4868.0	41.13998	-104.82025
41	TN	Tennessee	3933.0	41.13998	-104.82025
42	TX	Texas	13568.0	41.13998	-104.82025
43	UT	Utah	5216.0	41.13998	-104.82025
44	VA	Virginia	9241.0	41.13998	-104.82025
45	VT	Vermont	3259.0	41.13998	-104.82025
46	WA	Washington	13096.0	41.13998	-104.82025
47	WI	Wisconsin	6146.0	41.13998	-104.82025
48	WV	West Virginia	4661.0	41.13998	-104.82025
49	WY	Wyoming	6295.0	41.13998	-104.82025
